Tweets,good,bad
 yes exactly dunning has been over at my place,0,1
 i appreciate your existence now i'm going to have an iced drink of some sort,0,1
so as i'm working thru this python book i type out everything; i stop from time to time and play around making up my own examples once i've done a first pass through the book i'm thinking to make toy versions of all the major ml algorithms,1,0
 that's the amount of time some of the alignment peeps are giving until agi happens,0,1
no one shall expel us from the paradise which bayes has created for us,1,0
 the real repugnant conclusion,0,1
 i agree the biggest cause area needs to be making sure that i have a gf; everything else is of secondary importance :-|,1,0
 one has to get a full picture by talking to people before one can really offer advice and outside critics risk being like that person who just barges in and starts giving advice worse sometimes,0,1
 yes punish him for not writing the critique of pure reason more clearly,0,1
 it would me too 🙏,0,1
 the worst is when destiny has clumps in it,0,1
" does drinking huel count another contender: saying ""i'll get back to you on that""",1,0
 😱😱😱😱😱,0,1
 i accidentally hit 7 but now i’m thinking maybe that is the best,1,0
being at mr rogers levels of agreeableness but still a pain in the ass it's a tough balance :|,1,0
eas gone bad: hueligans,1,0
i used to have over 2000 tweets in latin but deleted them all when i was having a hard time ah well,1,0
 sometimes i forget how to do that too,0,1
  interesting; i don't know what would've happened i was just thinking of how eg regarding climate change averaged global circulation models predicted the future better in the past than single models; i was hoping for better belief calibration here than for dead physicists 😅,0,1
waking up at 3 am possessed by the spirit of russ ackoff,0,1
  glad i'm not the only one who experiences being human that way never heard anyone else say it though until now ha,0,1
 i tried this but it's not the same: https://tco/rcznmlu9vj,0,1
  i don't know how to solve the ai alignment problem but i think we could solve the dating alignment problem ha,0,1
"one of the profs for my phd defense said “i hadn’t noticed you were dressed like that or i’d have failed you” 

not only was i dressed like that but i sat on top of a desk in front of the committee swinging my legs back and forth the whole time :|",0,1
 if ea were a person i’d swoon so hard fr fr,0,1
  gaudeō tuā causā :),0,1
  the kinda hot/ugh thing happens to me too stable self perception would indeed be nice…,0,1
 systems methodologies to improve teamwork and flatten hierarchical power structures rewarding congressive behavior and de-incentivizing the opposite,0,1
trying to find ur person: spreading yourself out over the whole universe and waiting until someone trips over u and likes it,1,0
i’m kind of afraid of ever being subjected to a coding interview i just look stuff up all the time; what i remember is a function of what came up last :/,1,0
2/ what i prolly should be doing is collecting info doing research on the issues at stake including analyzing or running ml on any relevant data sets and writing a report recommending viable courses of action,0,1
i've just been hueling myself this whole time,0,1
 yes japanese because latin wouldn’t be weird at all :|,1,0
"me happening upon new thing: ""oh what's this hey lil fella""",0,1
 i hate it when i troll myself with qts and then have to block me,0,1
  oh and i use tweetdeck so i can see lots at once,0,1
 i prefer to use a nerf cannon https://tco/lkkgp4y21p,0,1
" i’m a physicist latinist decision advisor :-|

in the past i was a musician martial artist",0,1
" yeah someone who doesn't start assuming you have bad intent whenever they're upset with you who is willing to put themselves in your place is a good start some people think they've got you ""figured out"" and they stop seeing you after that these things take time to determine",0,1
  i have yet a different way of visualizing it; maybe i should write it up it makes a tree-like thing with geometrical shapes and regions shaded with colors i started designing a tattoo of it but then got side-tracked with other projects,0,1
 it seems kinda cool because it gives explicit instruction of how to code up the various algorithms as well as examples using packages that are already available,0,1
 i guess that would make elon thanos yeah seems kinda right,0,1
 why you can't be series otoh everything has its laplace,0,1
 i just put a big green check mark next to whatever i say ✅,0,1
i used to be a musician 🥲,0,1
 thanks,0,1
 still waiting on that callback from snl,0,1
"some others:

- confusion matrix common probability distributions
- sunk costs value of time pareto principle
- cognitive dissonance fundamental attribution error
- systems thinking :)

anybody wanna give a shout-out to their fav tool",1,0
 projecting every episode of saved by the bell onto the surface of the moon,0,1
 don't worry i'll check it out and report back,0,1
 i just keep noticing all these job ads that seem to want u to know sql or python *and* sql; i'm starting to wonder if the latter isn't just being redundant,0,1
 the sun is an evil nuclear furnace that must be destroyed,0,1
 okay all in &lt;insert foreign language&gt; tweets,0,1
 https://tco/h30bowcvdd,0,1
started an obsidian vault for project ideas,0,1
 in reading about hard systems thinking  it was clear that trying to apply math to everything led to too narrow a range of problems irl being addressible so i spent a great deal of time learning about systems thinking the kind of thing consultants run around using so that too,0,1
  but yeah if someone’s point really has zero merit it will fizzle instead of getting reinforced,0,1
 that’s okay sometimes i get confused and believe that i’m the lead character from a 90s romcom i mean i’m confused when that happens right,0,1
  i mean just look at that otter: it could be thinking anything,1,0
 i feel like people got this one wrong,0,1
 3/ quantum electronynamics along with two other guys after that about 5 million post docs worked on string theory which is so damn complicated that people can't even figure out what it predicts oh and quantum many-worlds multiverse something something end,0,1
oh there it is https://tco/yzvj19fwxk,0,1
if it were raining men i'm not sure how i'd feel about that prolly really upset about all the men plummeting to their deaths,1,0
i’d like to see threads about,0,1
trying to eat sandwich same size as head,1,0
i used to think that evil didn’t get out of bed before around 10 but then i realized no that’s me,0,1
  well getting killed by category theory is one way of solving all my problems,0,1
 if i spent another year where i am and just studied the heck out of ai alignment do you think getting a position working on that could be plausible,0,1
 gods me neither i’d hug my profile pic and tell her i’m sorry over and over,0,1
  same,0,1
 i'm not sure i understand how that solves it if after normalization the utility monster gets 10 and the rest of us get 1 x 10^-200 what then,0,1
 how might i go about getting a job doing that i’m wary of the consultant route because well i have a hard time flying a lot 😅,0,1
 wait a minute i live in america they must be attracted to me,0,1
" (1) rogue one

(2) the adventures of buckaroo banzai across the 8th dimension",0,1
 check i mean yeah that’s right sexy over here,0,1
forging brain paths w/my neural machete over &amp; over &amp;…,0,1
  damn i think about this one all the time and just don’t bring it up 😅,0,1
 i pay for a password manager and it still makes me miserable 😭,0,1
oops wrong account,1,0
  good job carry on,0,1
   it’s someone who sells products or services that are based on magical thinking neumann thought that consciousness is required to collapse the wave function; it led people to all kinds of strange beliefs about humans being able to manipulate matter with their thoughts,0,1
 yeeeup :),0,1
"a workflow:

(1) tweet something
(2) stare at it distrustfully 
(3) comment or delete",1,0
" we could replace ""machine learning"" with ""a language"" and the picture would still be accurate",0,1
  me too fr,0,1
 okay i’ll admit it me too,0,1
" ""can u treat me using only tools from the command line""",0,1
" my friend's instant pot perma smells like oatmeal; somehow this bugs me enough to not get one

but then the inside of my fridge looks like an army of huel drinks",0,1
  i agree; that’d ideally be part of my “making the case” later you’re right in suspecting that i would err on the accepting side of things thanks for pointing that out if i keep it in mind maybe it will help improve outcomes,0,1
 i’ve been working on applying systems thinking methodologies that were originally designed to facilitate group problem structuring to aiding individual thinking basically the idea is to simulate a group workshop through role playing,0,1
    it seems crucial to do this with lots of things i know how to simulate being other people with different ideas; it takes a lot of time and still often isn't as good as just talking to other people who are different (but maybe not too different) from oneself,0,1
 it could be a conspiratorial wink but if i really like u it could be flirting,0,1
refusing to put punctuation inside quotation marks because i'm funny that way too,1,0
 i support this mostly because it entrenches u even further in my in-group of weirdness,0,1
"  damn i can totally see this happening ""oh computer please arrange nice virtual living quarters for me based on the reward function i've been training you on""",0,1
 is there one you like a lot,0,1
 just don't go killin' nobody that don't need killin',0,1
that is we can pursue our goals in a way that allows maximum flexibility in an unknown future,0,1
 they're awesome is what they are ❤️,0,1
 hey i tweet strategically; i’m def not shitpoasting 24/7 over here (as far as u know): it’s like 5d chess fr,0,1
  actually i was happy for 1 full second once so nevermind :-|,0,1
 i used to do this but channeling all convos into that one episode of macgyver was costing me friends,0,1
" sometimes i have cases involving multiple intertwined decision areas and we end up looking at paths made up of sequences of possible decisions but i guess you see it as choosing a ""decision package"" ie making a single choice about which branching path to follow",0,1
like if someone wants a random forest model i totally can do that but not w/out looking stuff up,0,1
the surface of the utility function as a differentiable manifold whose geometry reveals things about our preferences,0,1
  i want a rationalist woman with an ea lifestyle and i want to drink her huel :-|,0,1
sql thread cleaned up and w/a bit more explanation: https://tco/msbhnex7bj,0,1
  maybe that's why i have ibs,0,1
my emerging modus operandi w/sql seems to be calling it from the command line and piping the query results into linux utils because i’m not too bad w/the command line fu,0,1
the dictionary is more like suggestions really,0,1
and i don't even eat donuts,0,1
the todo list as a navigational system,0,1
  i love to forecast too and even the tiniest barriers between us and what we want to do can prevent us from acting unfortunately i so support this idea of making it easy,0,1
 https://tco/8zl6jhyngw,0,1
 i secretly carry the mandelbrot set under my trenchcoat to seduce the youth,0,1
it seems mastodon got embarrassed about tooting (as opposed to tweeting) and has gone back to plain old posting,1,0
 i pester people by asking them what they want so already i’m off on the wrong foot 😌,0,1
"ch 1 of the python data sci handbook ✅

now i'll try to write a script that will implement that todo list idea i had earlier",0,1
 it is tho the binding could be better,0,1
 and i am ariadne left in the rotting vegetable drawer pining for a certain cherry tomato,0,1
 my version of brute force: 30 pg of math,0,1
 they are unaligned have u heard the sound they make also my neighbors and their house got turned into binkies,1,0
i need a makefile that will recompile my life whenever i change anything,1,0
 it’s hard enough to help people who *have* asked for it 😅,0,1
  yes many ppl say that but here take some of our lovely brochures (i made them with latex 😁),0,1
and then there's hand waving something something people are born in different seasons has an effect something do people not see how different that is from stars exerting heavenly influence,0,1
it's significantly harder to knowingly do dumb things when you've made your whole life be about decision making 😅,0,1
 this is why it would be better if we spoke latin,0,1
 omg that is a rabbit hole i may never emerge from,0,1
  at entry level it wasn't very engaging for me either but as i kept revisiting it at higher levels it became beautiful and awesome so i say keep at it,0,1
 i support this definition because according to it i have a ton of sex,0,1
hueltide joy,1,0
 i was bad at dancing but then learned how to dance by watching videos pretty much just like in that movie napolean dynamite; now i'm michael jackson bad,0,1
 i categorize rudeness; i'm funny that way,0,1
"every day my ""what's happening"" sidebar be like: ""video of kermit the frog heinously murdering carrot top has been digitally altered fact-checkers say""",0,1
 cool take that rona,0,1
3/ being multimethod is to do everything in the service of one perspective being multimethodological is to switch between fundamentally different ways of viewing a problem situation,0,1
 hey that's awesome all u need,0,1
 not sure what i think about the x-risk aspect i can say that a really bad thing even with a very small probability seems worth thinking about: negligence = probability*risk,0,1
 in high school it was thought that i had a math learning disability because i couldn't memorize my multiplication tables eventually i was put on a vocational track where i cleaned ink off printers and other graphic arts dept tasks for most of the day fast forward: physicist :-|,1,0
feel free to suggest your own theoretical framework 🤓,0,1
seriously this thought makes me cry y'all damn,0,1
"  i guess i'm a  g👀gler :\

i don't really like the cross-generational labels i wanna hang with all the good peeps",0,1
 that's encouraging: a hueless world is black and white,0,1
 👉sports convo used for brain imaging💡,0,1
 clearly a forest nymph or a muse,0,1
    the thing that's ingenious about dion's suggestion is that it combines the best of both ideas: it gets directly at what the person cares about while also letting them know that you see them in particular brings a tear to my eye damn,0,1
 aw shucks,0,1
 thanks :),0,1
" the spell is more powerful in latin: cēterīs paribus
also it helps to add ""in some sense"" liberally",0,1
  i’ve also been told that it isn’t dumb but just hopeless unless you’re a super genius… which could be true; again gotta have enough courage to devote time to figure it out for myself,0,1
  omg i luv this one,0,1
 yes everything we do has potentially unintended consequences at the same time it's a matter of degree: some moves are riskier than others i used to think that we couldn't help what we believe but lately it seems like it's possible to just make yourself believe things too,0,1
" ""apply for mlab and arena if you want to be an re and mats for rs""

i'm unfamiliar with these abbreviations but maybe it will become clear as i look through the courses",0,1
if an ai chatbot were trained on all my tweets maybe it would want to be friends or fold me into a paperclip prolly both 😌,0,1
 get a 70 ml scoop and a blender cup; shake that sucker real good before trying to drink,0,1
i dunno i just don’t feel comfortable trying to be someone i’m not; if i tried to i’d prolly come across as less competent,1,0
dreamily dreaming of dreamy stuffs possibly romantic okay definitely,0,1
 if category theory had a gender what would it be,0,1
 i have mixed feelings on some things they seem to be eg trying to change anything systemically seems nigh impossible; at face value 95% of scientists leaning left looks conformist; at the same time there could be something on the right that's culturally driving that,0,1
"in the interest of sanity i'm now stopping ha 
me:37 
twitter: 80 
oh twitter u win 😅",0,1
how would you prefer me to write about machine learning,0,1
 i too bring terrible puns; perhaps a trade is possible,0,1
ok more python we have python insanity here,0,1
are there two branches of ea that are going to set off in opposite directions across interstellar space and have an epic battle that will decide the fate of the universe when they meet again,1,0
 https://tco/dildrz4i3e,1,0
 warming to the idea of faerie creatures in my hair,0,1
   you can ping me :),0,1
i find that often i have to use tools and frameworks implicitly in working with others and not necessarily say “let’s use such-and-such tool” because the moment i do that someone objects eg “i don’t want to turn my level of confidence into a number” 😅,0,1
 also it seems to depend whether we’re talking about instrumental vs epistemic rationality and including others for greater accuracy/efficacy or because we want things to go well for them,0,1
"  it was invented by stafford beer as a way to have a discussion that puts everyone on an equal footing 

https://tco/0ljr9xzsy7",0,1
 capes need to make a comeback,0,1
meanwhile peanut butter huel + chocolate huel = 👌,1,0
declaring something to be impossible is usually just asking for trouble 😈,0,1
it's hard being batman,1,0
 i'm thinking to eventually phase over to that right now i gotta focus on being able to get hired in the spring i think,0,1
 sounds like my world too a lot of times,0,1
" damn that’s pretty much me

alexa: “that’s not the kind of thing i’m capable of”

me: yeah u and everyone else in this town 😭",0,1
 it’s when the service is described on an atomic level for statistical mechanics calculations,0,1
 53 *good* ones,0,1
  i’m the other stick figure :-|,0,1
 gods i speak from much experience of both; the abusive relationship is much much worse,1,0
 the things you post are interesting and deep; not sure i’ve noticed funniness but i’ll pay more attention to that,0,1
which can be really awkward on a saturday night let me  say,0,1
the way language is used reflects power relations; i think about it a lot lately,1,0
i have read in the ancient language and drank of the elixir made from the life force of the young; now i must sleep,0,1
" my mom was like ""people don't want to work through decision trees with you"" 😭",0,1
 i want everything to have latex support,0,1
 3/ i'm not certain that i'm not talking past your point; if such is the case oops sorry about that,0,1
 i am indeed interested in it i just figured that not being an ai engineer i’d have too much realistically to learn and also might lack convincing credentials,0,1
  i want a transgression debit card so i can eg purchase $50 worth of public swearing,0,1
 somehow capturing how i feel about vim exactly,0,1
 the secret of nimh,1,0
reply-guying can i say “bruh” when i’m doing it i like how it sounds,1,0
  i haven't i see he was a sci-fi author,0,1
 this is why i grocery shop in latin,0,1
 you can post garbage it just helps if it's garbage that people secretly like eg cheetos :-),0,1
trying to use statistics without some underlying causal model seems to lead to tons of problems using a 3 factor linear model can be better than using an ml one with 50 parameters,1,0
 i'm on twitter less today than usual the utility monster thread turned into a monster (for which i'm thankful because i learned a ton) but now i need a short break ha,0,1
the standard example is for a corporation but it can be any system at all viewed organismally,0,1
 i’m a posterior kinda gal myself,0,1
 for those who may not know: the ripple effect refers to the effects that a belief has on all our other beliefs forming a new belief is like dropping a pebble (or a big rock) in the water: the effects are far reaching and often unpredictable,0,1
 i feel better now,0,1
 hopefully it will discover its own identity and find a path forward in its new life: foodemonia,0,1
a visual method to update belief in a hypothesis more accurately than by just intuition,0,1
 yeah for floats too https://tco/dhu2zju7aj,0,1
" you could replace ""runs"" with pretty much any word and i would still agree i guess ""coffee"" might not work",0,1
  collect sweet good-guy moots,0,1
i’ve decided that twitter is filled with gods minor deities and wondrous mythical creatures congrats y’all,1,0
 super kind nerds 😌,0,1
" it’s about people milling around next to buffets and exchanging business cards :-|

also this:

https://tco/rw22q62vbi",0,1
4/ but it's also important to remember that sometimes it's better to simply factor in uncertainty than to try to reduce it after all it takes resources (including time) to reduce uncertainties and the gain in certainty that we can hope to achieve is not always worth it,0,1
 the advice i’d give depends on why the person has opted for linux: what are the newbie’s goals,0,1
 greek letters don't get nearly enough press so thank you for this public service,0,1
accidentally maximized futility oops,1,0
 that makes sense if twitter ever goes down i’ll prolly start drooling and fall over,0,1
 it’s ingenious true 4d chess like avoiding getting mugged by pinning $100 to your shirt https://tco/ttxvj68idu,0,1
 yes putting it on my list :),0,1
 thanks,0,1
 u could carry ur fav phil book while dressed as a zombie and be a p-zombie,1,0
 wait until u get to killing fields,0,1
 i guess i'm already working on it: a suite of high level ml environments i can use to analyze data for all my clients but also simplified versions of every package i use so that i can maximally understand it,0,1
" okay this was hard but i finally have something: ""what probability do you give for our relationship lasting another 15 years""",0,1
i should prolly be putting these things into obsidian,0,1
now bad romance is stuck in my head luv luv luv i wnt ur luv,1,0
you guys realize i'm not serious right okay just checking,0,1
 pretty sure yeah funny thing is i find myself in the future just walking places like if i go to the kitchen right now i'll end up like 5 seconds into the future scary shit i'm not going anywhere ever again,0,1
i'm not sure but it seems like a lot of bad in the world comes from being too willing to say that other people are bad which is ironic if true,1,0
pessimizer: an optimizer turned loose on the wrong problem :-|,0,1
 i kind of like the anti-facial hair and want them to wear togas and speak latin but u know it's a pref,1,0
"  ""trying to lower the probability that humans accidentally annihilate themselves"" lacks a certain ring 😅",0,1
 u have just unlocked 40 blue checks,0,1
 i mean i didn't even know one could do that,0,1
 his book factfulness is terrific too,0,1
  thanks,0,1
the burrito principle: by the time you’ve eaten 20% the other 80% will have fallen out,0,1
  “oh man i sunk every last dime into pork bellies” 😂,0,1
"immediately whenever i think of or hear someone say something a little medieval logician in my head checks if it was too broad too narrow circular etc 

gee thanks little medieval guy",0,1
 reality has deep complicated structure but we can make useful local (ie based on our relative viewpoints) approximations to it we start with how things are where we are standing (priors) and use various heuristics to extrapolate outward,0,1
yo: https://tco/tcofi1zwqe,1,0
apparently when u store an integer in a list it takes up a crapton more memory than storing it in a numpy array; that is partly why numpy is faster than using lists,1,0
  ah borscht luv takes me back way back,0,1
 i'm not addicted to any technology especially not twitter not even a little nope :-|,0,1
 the greatest hits of mel tormé,0,1
 let's see u commit to trying 100 whatevers reject the first 37 and then take the first whatever that's better than the 37 u rejected at least that's how i make omelets every morning :|,0,1
 i thought everyone would get paid to program in basic,0,1
 u bastard i luv u,0,1
  right choosing a career is partly predicting the future about what we’ll find meaningful partly predicting where jobs will be and partly about choosing paths that leave acceptable options open because we can’t really predict the future,0,1
 is the third season as gross as the 2nd was with the giant barf monster that thing left scars on my psyche ha i loved the 1st season,0,1
  nothing worse than getting dutch booked in some dark alley because you left an axiom at home,0,1
 more or less thanks,0,1
 closer to this https://tco/nutkgi6xfh,0,1
  i used to be the high priestess of a cul- i mean religion called the church of the spherical harmonic; it involved lots of math,0,1
 i would prolly do what i'm already working on but more vigorously: translating systems thinking approaches into category theory in an effort to interrelate them ie form a system of systems approaches,0,1
  this is my play book: https://tco/rzirealbtd,0,1
 gotta say this might be like 20% of my strategy too 😅,0,1
being that weird reply guy this morning,0,1
ok i don’t know how to solve the alignment prob but i could learn how to not solve it even better super fast,1,0
i've been fighting existential dread with absurd humor all my life; now i just document it with a trail of tweets,1,0
"okay this was great but i should prolly stop after i exercise 😅

thanks y'all ❤️🙏 https://tco/qceyuspjae",0,1
 this is the best do-not-litter sign that the universe has ever seen,0,1
and ofc one way to be seen as diverse is to really be super diverse :),1,0
my body is like: what they hell sci-fi movie are we living in: all i get from u is huel caffeine and exercise machine are we on the way to mars tell me the truth,1,0
" so that means i could live in europe as long as i work hours consistent with us hmm

i am a huge night owl so",0,1
"  the kind of ppl i’m thinking of would just say “i’m special because i happen to be me” 

and for goodness sakes some ppl don’t even value logical consistency: they could accept the premises but not the conclusion of a valid arg",0,1
" well i had this plan to hold the world hostage with a doom's day device collect the ransom and then give all the $ to givewell

and i had this other idea which involves getting the hot dog vendors in nyc to organize and do my bidding

i mean really i have lots of ideas",0,1
i can't help but think that chocolate might improve this situation if i had any,1,0
"when you're your own boss and your work involves coding you can deeply identify with both of these perspectives:

""just write a code to do x""

""one does not simply write a code to do x""",0,1
 if i tried it would’ve turned into some demented hitchhiker’s guide to the galaxy-ish monstrosity ha,0,1
 one of my best friends for years was an academic idol; he was also just a person he didn’t act like some megalomaniac; it’s not worth befriending anyone who would,0,1
 if i bought up all the liquor i could get as many cigarettes and ponies as i wanted,0,1
"no one:
python: piggy 0 (ie 1st) piggy 1 (ie 2nd) etc",0,1
i'm not saying qalys aren't useful for other purposes,0,1
 fair enough if i make my career be about “the” alignment problem i will be balancing between prob risk and the likelihood of my being able to meaningfully contribute when choosing which aspects to focus on,0,1
"  a potential problem is that building a view into one’s identity tends to lead to those other things 

https://tco/uoug7h9gcc",0,1
  thanks,0,1
there's too much of an assumption in education that ppl will pick up general thinking skills implicitly through traditional course work,1,0
 oh boy now there’s gonna be a bunch of schism-ing and one of them will end up being a monarchist flat-earth math cult and then we’ll end up having to rename what we are to ea original flav or something,0,1
it's hard to sit with people at a round table and not end up learning from and collaborating with them,1,0
i wish people weren't so against asking math models what they think about things math models are people too,1,0
  i always wondered what hume would have thought if he had known about bayesianism maybe it wouldn't have changed anything at the same time there's something compelling about how you can gradually build confidence in causal hypotheses using that approach,0,1
 right next to badger planet 😌,0,1
"    all this is so relatable (and wise)

i had to stop; it was destroying my sense of self-worth 

also being desperate leads to predators creeping in loving bombing to get you closer etc",0,1
  that movie did make me want to disappear into my seat like homer simpson into the bushes in that one gif ha,0,1
tweeted banger,0,1
"just off the top of my head:
(1) alignment problem
(2) growing old dying and stuff
(3) people suffering
(4) the having-no-gf problem",0,1
i haven’t worked on it in a long time i got really burnt out on being the sole developer for it and not having adequate institutional support for that kind of thing,0,1
 yeah they call it the web crawler some even say there's a place called the dark web where u can sell yer soul,0,1
"  i resemble that remark :-| 

why it only took me 2 1/2 days to get x11 up",1,0
 i used to sit around all day making natural deduction proofs of things like this oh comfort food for the soul,0,1
     wow i’d been living my life inside most of the boxes at the top without knowing about ea until fairly recently,1,0
"   it’s a good thing i’m not a therapist :|

“my therapist used random forests to make a predictive model of how happy i’d be if i *did* choose to save the shrimp”",0,1
modal logics as a tools for imagining possibilities,0,1
 strongly considering this option,0,1
3/ uncertainties about links to other decisions can be reduced by thinking deeply about those interrelationships and by engaging with those responsible in the other decision areas sometimes modeling is called for here as well,0,1
 but 80% of my thoughts come from 20% of my second brain (the other 20% coming from twitter),0,1
 machine learning; i want to be able to not just use it but write or modify it particularly w/a view toward greater transparency etc i’m studying this at the moment: https://tco/t6oyu3hs5x,0,1
 the free will in the middle column isn’t the same one as in the third column gotta read the fine print,0,1
  can i co-host,0,1
 yeah that term showed up but lower down the list; gotta step up on the huel posting as well,0,1
 also just reading and listening to lots of julia galef,0,1
"  it's okay as long as no one steals my spot for ""largest cheddar cheese sculpture of richard feynman""",0,1
 i believe i've found a flaw in the model: there is no box for huel,0,1
drowning my sorrows in code 🥲,1,0
like so wrong that the wrongness police will show up and arrest u for being so wrong,1,0
 trying to imagine a soft systems workshop with him and his generals as participants - talk about a coercive setting 😅,0,1
picking an activity that i like and not letting myself do it unless i'm on the exercise machine has been very effective,0,1
"1/ the fact that a small (but not ""borel"" or astronomically small) probability event given enough chance to occur will occur can be very unsettling",0,1
 yes i’ve done that and my brains ha,0,1
  or category theory i like my abstractions to be nonsense,0,1
if someone qts you rudely a bunch of times and then u block them does ur stuff still show up in their qts,0,1
 i no longer desire certainty give me that weird quantum superposition i can take it,0,1
and i don't mean one giant one like king arthur's: i mean several small ones and nobody is sitting at the head of any table because of course there is no head,0,1
 that number could be 0 :),0,1
  i like the idea that an attitude change might help there,0,1
i love non-classical logics and proof systems esp quantified modal logics,0,1
my world is shattered 😅,0,1
 that sounds plausible https://tco/llctxgxdiu,0,1
 i need someone to write a guide for me wordz so many wordz,0,1
 i used to suspect that a majority of likers didn’t believe but since then i’ve probed a little and every liker i’ve met so far also believes or at least so it seems even if i say “someone might say… &lt;insert reasonable argument against&gt;” no one has moderated,0,1
"also analyst suggests to me ""analytics"" which is part of what i do",0,1
 i was thinking to understand the theory and practice both because i'm interested in ai alignment and many of the things i've seen that further this goal are things you do by understanding deeply how the algorithms work eg changing them in ways that increase transparency,0,1
going to light a candle take a nice warm bath and read about category theory 🕯️🛀📖,1,0
  growing up i used to eat blackberry cobbler with vanilla ice cream every sunday it was yum,0,1
" look that whole taking-over-nyc-by-understanding-its-hot-dog-stands-systemically thing isn't gonna work :-|

also remember: mēns errāns haud laeta est (a wandering mind is not happy)",0,1
anybody wanna take this one :) https://tco/ydbriduz0b,0,1
 did i understand what you were asking correctly,0,1
 it's def important to put the numbers in and do just want ur saying it's just that i like to also do all the algebra before that because then i can check the resulting formula itself (eg if the speed goes up does the avg force do what we expect) and its dimensions,0,1
re a synthesis being contructed: using some relevant combo of systems models and someone recording everything that's needed on a big chalk/whiteboard,0,1
 that's the thing: no matter what happens to everyone else the one person who will be with you until the end is you another reason i try to be nice to me,0,1
 1/ so there was this guy named fred kroll who was like in world war 2 and stuff; he wanted to get into the toy bizness for some reason he was in japan and while he was chilling out there he saw this game where u can make these hippos heads shoot out and eat marbles,0,1
 🤣,0,1
 😭,0,1
3/ though all that is expensive and so i wouldn't expect the average guy on the street to be able to afford it which means i should be pitching toward high level decision makers in orgs,0,1
i feel like i heard someone say this but i can’t remember who :/,0,1
  (walks by the door and shouts “machine learning” before running away),0,1
  u can fit more wtf/pg that way,1,0
 yeah they’re just that good 😂,0,1
 it's just about the biggest smile i am capable of without looking insane 😅,0,1
   i don't know why but i support this idea,0,1
and there’s this red phone on my desk that rings sometimes maybe i should answer it,0,1
"i know a guy who went on 49 dates before he found his husband now of many years

when he felt like giving up he told himself: ""if i stop then someone out there who would have been really happy with me may only find what he is looking for much later or not at all""",1,0
 from a physics perspective this could be explained by you having been travelling at about 87% the speed of light the whole time; if this is the case i say good job damned impressive,1,0
  there’s a lot to learn going in; meanwhile people tell you it’s dumb so it takes some resisting social pressure and enough nerve to just think through the issues for oneself,0,1
"my friends used to ask me being knowledgeable about decision making why i often wanted to know their thoughts on what would be best to do the answer is pretty simple: good decisions don’t tend to happen inside just one head 😅

soft systems thinking starts from this point",1,0
 damn maybe i should try to get hired where u are :d,0,1
 haha once someone saw that i was reading classical mechanics and thought i was studying to work on cars,0,1
the “brilliant” part might be tricky,0,1
i need everything to be in night mode i can't help it: i'm batman,1,0
  that was gonna be my answer ha,0,1
 i sorta suspect it’s the right way to think about everything 😅,0,1
on pg 50 of this 500 pg python book; not gonna stop until i've worked thru the whole thing when i get to the more interesting parts i'll start making projects about them,1,0
"h/t  for alerting me to this article tldr: a simple model based on human heuristics can sometimes beat ml algorithms + big data

https://tco/7qk1w6hz86",0,1
 like coffee coffee is filled with mind-controlling nanobots that make you randomly do the funky chicken dance,0,1
"  yes this is my general plan still working out the details:

(1) hang out on twitter
(2) 
(3) famous movie star",1,0
maybe if these most basic things could all be encoded in a single line that is also part of the file name or something and standardized so one could just do a grep,0,1
pretending that sql stands for structured queer-y language,1,0
 i am also sleepy a lot i think i might be undead,0,1
i’m reading this book and thinking “damn everyone in ml needs to know this stuff”,0,1
  i hadn't heard of that one looks like it's a uk thing,0,1
 i’m gonna find something that makes you age and not take any of it; presto,0,1
 elastic utility as a jumpy castle ❤️,0,1
going to pascal’s mug someone into dating me by promising unlimited amounts of huel,0,1
whenever i’m trying to learn a theory and i see examples i get excited because we use examples to unlock theory and remember it,0,1
  you beat me to it,0,1
 thanks :),0,1
 i'm biased because latin,0,1
 i’m going to test your claim by putting a raisin under the… https://tco/pmh2sjxkdg,0,1
 i'm not addicted to chocolate or caffeine nope and i'm def not drinking a double espresso right this moment to help myself think :-|,0,1
  i cried in the middle of the tombs of atuan but then i cry in the middle of my category theory book,0,1
 good to be versatile 😂,0,1
" as the person who always plays the chaotic good necromancer in d&amp;d my answer is ""yes""

besides i understand why people use windows instead of linux",0,1
 i feel emotional about it too; crayons seem somehow appropriate 🥺,0,1
 what’s disturbing is when they say shrimp &gt; human,0,1
ouch,0,1
 she's my hero ♥️,0,1
 when i'm in a room of smart people i do sometimes wonder if they think i'm dim i try not to dwell on it and just concentrate on the thing whatever that thing happens to be,1,0
  ah come on illuminate us loose that tung-sten,0,1
self-consciousness as a scalpel w/which i operate on myself,1,0
 that 1/10 startups that succeed can make the ceo look special when maybe they’re mostly lucky,0,1
i more or less do know everything in it and i mean i guess i'm sorta powerful can summon minor daemons,1,0
 i want to like all ur tweets but shh don’t tell anyone,0,1
 yes; it’s good that “i gotta be me” involves some clothes,0,1
  not sure but an answer to his question has come to me: the one where he says he’s not girlbossing hard enough cuz that one made me fall outta my chair (and also i’m not either so same prob),0,1
failure mode: running out of coffee,1,0
  i guess i'm wondering what would make that a single agent vs a billion agents is there one set of qualia or a billion i'm suggesting that a single mind can only experience so much pain/pleasure,0,1
 and then there's me eating gruel while thinking of huel,0,1
