Number of Likes,Tweets
4,it's hard to sit with people at a round table and not end up learning from and collaborating with them
4,i wish people weren't so against asking math models what they think about things math models are people too
2,  i always wondered what hume would have thought if he had known about bayesianism maybe it wouldn't have changed anything at the same time there's something compelling about how you can gradually build confidence in causal hypotheses using that approach
0, right next to badger planet 😌
2,"    all this is so relatable (and wise)

i had to stop; it was destroying my sense of self-worth 

also being desperate leads to predators creeping in loving bombing to get you closer etc"
1,  that movie did make me want to disappear into my seat like homer simpson into the bushes in that one gif ha
2,tweeted banger
1,"just off the top of my head:
(1) alignment problem
(2) growing old dying and stuff
(3) people suffering
(4) the having-no-gf problem"
3,i haven’t worked on it in a long time i got really burnt out on being the sole developer for it and not having adequate institutional support for that kind of thing
2, yeah they call it the web crawler some even say there's a place called the dark web where u can sell yer soul
7,"  i resemble that remark :-| 

why it only took me 2 1/2 days to get x11 up"
2, i used to sit around all day making natural deduction proofs of things like this oh comfort food for the soul
8,     wow i’d been living my life inside most of the boxes at the top without knowing about ea until fairly recently
3,"   it’s a good thing i’m not a therapist :|

“my therapist used random forests to make a predictive model of how happy i’d be if i *did* choose to save the shrimp”"
0,modal logics as a tools for imagining possibilities
0, strongly considering this option
0,3/ uncertainties about links to other decisions can be reduced by thinking deeply about those interrelationships and by engaging with those responsible in the other decision areas sometimes modeling is called for here as well
1, but 80% of my thoughts come from 20% of my second brain (the other 20% coming from twitter)
1, machine learning; i want to be able to not just use it but write or modify it particularly w/a view toward greater transparency etc i’m studying this at the moment: https://tco/t6oyu3hs5x
1, the free will in the middle column isn’t the same one as in the third column gotta read the fine print
1,  can i co-host
1, yeah that term showed up but lower down the list; gotta step up on the huel posting as well
2, also just reading and listening to lots of julia galef
1,"  it's okay as long as no one steals my spot for ""largest cheddar cheese sculpture of richard feynman"""
1, i believe i've found a flaw in the model: there is no box for huel
12,drowning my sorrows in code 🥲
6,like so wrong that the wrongness police will show up and arrest u for being so wrong
2, trying to imagine a soft systems workshop with him and his generals as participants - talk about a coercive setting 😅
3,picking an activity that i like and not letting myself do it unless i'm on the exercise machine has been very effective
0,"1/ the fact that a small (but not ""borel"" or astronomically small) probability event given enough chance to occur will occur can be very unsettling"
1, yes i’ve done that and my brains ha
1,  or category theory i like my abstractions to be nonsense
2,if someone qts you rudely a bunch of times and then u block them does ur stuff still show up in their qts
0, i no longer desire certainty give me that weird quantum superposition i can take it
2,and i don't mean one giant one like king arthur's: i mean several small ones and nobody is sitting at the head of any table because of course there is no head
2, that number could be 0 :)
0,  i like the idea that an attitude change might help there
3,i love non-classical logics and proof systems esp quantified modal logics
0,my world is shattered 😅
1, that sounds plausible https://tco/llctxgxdiu
0, i need someone to write a guide for me wordz so many wordz
2, i used to suspect that a majority of likers didn’t believe but since then i’ve probed a little and every liker i’ve met so far also believes or at least so it seems even if i say “someone might say… &lt;insert reasonable argument against&gt;” no one has moderated
1,"also analyst suggests to me ""analytics"" which is part of what i do"
1, i was thinking to understand the theory and practice both because i'm interested in ai alignment and many of the things i've seen that further this goal are things you do by understanding deeply how the algorithms work eg changing them in ways that increase transparency
4,going to light a candle take a nice warm bath and read about category theory 🕯️🛀📖
2,  growing up i used to eat blackberry cobbler with vanilla ice cream every sunday it was yum
2," look that whole taking-over-nyc-by-understanding-its-hot-dog-stands-systemically thing isn't gonna work :-|

also remember: mēns errāns haud laeta est (a wandering mind is not happy)"
0,anybody wanna take this one :) https://tco/ydbriduz0b
0, did i understand what you were asking correctly
1, it's def important to put the numbers in and do just want ur saying it's just that i like to also do all the algebra before that because then i can check the resulting formula itself (eg if the speed goes up does the avg force do what we expect) and its dimensions
0,re a synthesis being contructed: using some relevant combo of systems models and someone recording everything that's needed on a big chalk/whiteboard
1, that's the thing: no matter what happens to everyone else the one person who will be with you until the end is you another reason i try to be nice to me
1, 1/ so there was this guy named fred kroll who was like in world war 2 and stuff; he wanted to get into the toy bizness for some reason he was in japan and while he was chilling out there he saw this game where u can make these hippos heads shoot out and eat marbles
0, 🤣
1, 😭
1,3/ though all that is expensive and so i wouldn't expect the average guy on the street to be able to afford it which means i should be pitching toward high level decision makers in orgs
1,i feel like i heard someone say this but i can’t remember who :/
2,  (walks by the door and shouts “machine learning” before running away)
4,  u can fit more wtf/pg that way
1, yeah they’re just that good 😂
1, it's just about the biggest smile i am capable of without looking insane 😅
3,   i don't know why but i support this idea
2,and there’s this red phone on my desk that rings sometimes maybe i should answer it
9,"i know a guy who went on 49 dates before he found his husband now of many years

when he felt like giving up he told himself: ""if i stop then someone out there who would have been really happy with me may only find what he is looking for much later or not at all"""
5, from a physics perspective this could be explained by you having been travelling at about 87% the speed of light the whole time; if this is the case i say good job damned impressive
0,  there’s a lot to learn going in; meanwhile people tell you it’s dumb so it takes some resisting social pressure and enough nerve to just think through the issues for oneself
5,"my friends used to ask me being knowledgeable about decision making why i often wanted to know their thoughts on what would be best to do the answer is pretty simple: good decisions don’t tend to happen inside just one head 😅

soft systems thinking starts from this point"
2, damn maybe i should try to get hired where u are :d
1, haha once someone saw that i was reading classical mechanics and thought i was studying to work on cars
0,the “brilliant” part might be tricky
5,i need everything to be in night mode i can't help it: i'm batman
0,  that was gonna be my answer ha
2, i sorta suspect it’s the right way to think about everything 😅
4,on pg 50 of this 500 pg python book; not gonna stop until i've worked thru the whole thing when i get to the more interesting parts i'll start making projects about them
2,"h/t  for alerting me to this article tldr: a simple model based on human heuristics can sometimes beat ml algorithms + big data

https://tco/7qk1w6hz86"
1, like coffee coffee is filled with mind-controlling nanobots that make you randomly do the funky chicken dance
4,"  yes this is my general plan still working out the details:

(1) hang out on twitter
(2) 
(3) famous movie star"
0,maybe if these most basic things could all be encoded in a single line that is also part of the file name or something and standardized so one could just do a grep
5,pretending that sql stands for structured queer-y language
1, i am also sleepy a lot i think i might be undead
2,i’m reading this book and thinking “damn everyone in ml needs to know this stuff”
0,  i hadn't heard of that one looks like it's a uk thing
1, i’m gonna find something that makes you age and not take any of it; presto
1, elastic utility as a jumpy castle ❤️
2,going to pascal’s mug someone into dating me by promising unlimited amounts of huel
3,whenever i’m trying to learn a theory and i see examples i get excited because we use examples to unlock theory and remember it
2,  you beat me to it
1, thanks :)
2, i'm biased because latin
0, i’m going to test your claim by putting a raisin under the… https://tco/pmh2sjxkdg
1, i'm not addicted to chocolate or caffeine nope and i'm def not drinking a double espresso right this moment to help myself think :-|
2,  i cried in the middle of the tombs of atuan but then i cry in the middle of my category theory book
1, good to be versatile 😂
0," as the person who always plays the chaotic good necromancer in d&amp;d my answer is ""yes""

besides i understand why people use windows instead of linux"
1, i feel emotional about it too; crayons seem somehow appropriate 🥺
2, what’s disturbing is when they say shrimp &gt; human
0,ouch
1, she's my hero ♥️
4, when i'm in a room of smart people i do sometimes wonder if they think i'm dim i try not to dwell on it and just concentrate on the thing whatever that thing happens to be
2,  ah come on illuminate us loose that tung-sten
5,self-consciousness as a scalpel w/which i operate on myself
1, that 1/10 startups that succeed can make the ceo look special when maybe they’re mostly lucky
14,i more or less do know everything in it and i mean i guess i'm sorta powerful can summon minor daemons
3, i want to like all ur tweets but shh don’t tell anyone
1, yes; it’s good that “i gotta be me” involves some clothes
2,  not sure but an answer to his question has come to me: the one where he says he’s not girlbossing hard enough cuz that one made me fall outta my chair (and also i’m not either so same prob)
5,failure mode: running out of coffee
1,  i guess i'm wondering what would make that a single agent vs a billion agents is there one set of qualia or a billion i'm suggesting that a single mind can only experience so much pain/pleasure
1, and then there's me eating gruel while thinking of huel
3, i'd rather play sims and make everyone be gay :-|
0,  i gotta remember that…
2, thank you 🥲
2,  i sell them from underneath my trench coat in brooklyn
1,mr pizza slice you failed me thank you 🙏
0,  i have been guy too; maybe we have all been guy
1, i would like got if it were less rapey and horrible :-|
0, :(
2,  and why does the set of happy points in my life have measure zero :-|
6,damn understanding more about statistics is like having another sense
2," i found this book helpful being congressive is wonderful and something we can support in all of society

x + y: a mathematician's manifesto for rethinking gender https://tco/hy7pmf9e4y"
4, bio-engineered virus
1,and combine w/reading more of the alignment problem
1," oh that's easy: i'm not 😅

but i often look like i am because i'm persistent and have lots of mindware installed"
1, eventually i was able to do it anywhere and without the sign but the plague turned me into robinson crusoe again 😅
3, and then when they don't follow back i eat a whole bar of chocolate
2,  haha excellent
0," ""hey you there i order you to stop organizing in all that orderly order"""
1, ah yes: to help make decisions now or when that's not feasible to understand the problem better eg by answering questions like: which are the most important uncertainties how much do they need to be reduced to make a decision possible how much would this reduction cost
3,   i think it might be absurdist humor i’m a spewing firehose of absurdity so i sense these things :-|
0," like this: https://tco/9pnhw9xqsy

i've been practicing a lot so i sound kinda better to myself these days"
5,see what the trojans should've done is gone ahead and put the horse inside the city walls but then filled the city with explosives vacated it and waited for the greeks to enter before detonating
1,anti-kyphosis back stretch round 2 ✅
0,must remain conscious long enough to complain on twitter
1, the can-good answers are prolly driven by the very good point that our intuitions/feelings can lead us astray and distancing can help us evaluate evidence (though it can also hurt in this endeavor if we're distancing ourselves from our feelings unknowingly or reflexively)
1, i applied to talk with someone there; just waiting to hear back :)
2,  😂
0,combined with listening to podcast in latin
1,  i'll take the hit i like being agreeable
1, emmy noether :)
3, meeooow :d
2,  re huel me too but it seems to be helping me with my ibs and to some extent with money so i’m super grateful that it exists 🙏
2," i selected ""friend"" but i do that unless the person or thing in question is trying to eat my face"
6,"when people offhandedly say things like ""i never date water signs"" i feel like i've been transported to another dimension"
1, yeah with the woman i was with we were really good at viewing things from each other's perspectives and it made all the difference
1, i'm not a furry but i've recently decided that i'm a wisp
5,it's so weird: sometimes i can't tell whether i'm going to like a thing until i post it let it hang out there for about 10 s
11,"i keep feeling like i was made to do something stupendously amazing that no one in this particular universe needs anyone to do

can someone plz point me to the isle of misfit toys"
1,  to the 1st question: my existence is purely along the imaginary axis :(
1,  nah it doesn’t show up in the photo but the rest of my body is a smudgy blur from having been erased and redrawn too many times in a desperate attempt at realism
1, my absurd bangers are all 100% accurate; whatever algorithm they put in place needs to respect this fact
17,i wonder what flavor of huel distracts from pain the most
4, pro tip: if u don’t wanna get toothpaste on the mirror don’t brush in front of the mirror
3,i am grading but my heart is doing data magicks with pandas
2,i'm not talking about swearing i like swearing
1, i got the idea of congressiveness from eugenia cheng :)
1,  because i don’t have magical thinking at all 😅
1, haha mine too
0,  i think some people being confused might be a lesser evil than subjecting everyone to the full brunt of my shitpos- um humor :-|
0, familia romana ørberg
1, i don’t know whether i love that or want to stick with the barbarian assessment 😅
0, yeah that's pretty much what's going on here ha
1,https://tco/vqb4rv53ft
1, it's okay we all read about financial derivatives from time to time
2,  that's ablobinable
1, done
7,sometimes i catch myself writing emails like tweets minimal punctuation no caps
1, like they might as well strap me into the cockpit right now and send me off to mars i'm pretty sure i could take it
0, not sure how integratedly the subjects are taught but it looks pretty good just reading the website
1, y thank u
3, as long as it ain’t heidegger or derrida i’m ok
20,dare i ask how long the ea twitter community has been around i wanna know how long i’d been missing out :-|
2, hmm it’s an idea
2, the same stuff i’m already doing but more which consists of so many luck surface area/power law distribution sampling activities that it’s already like having two jobs
5,the only romantic relationship i've ever had that was really good and worth it was with another rationalist-type person
6,  omg once upon a time i spent so many hours on baldur’s gate and neverwinter nights
1, and i’m partying in jersey by bash scripting yo
0,is there *a* name (oy you type-o you)
2,cleaned out inbox again; it wasn't bad this time
2, now imagine all that on a dry erase board psh
1, of course hueller made the huel joke i feel like his adventures are cooler than mine especially on his day off
1, flies go toward the light; maybe if you turn the lights off and open the front door
3, sometimes i just think i followed someone but am mistaken and notice it a while later 😳
0, so if i’m drowning that way i need to make sure there are at least 2 other eas around :-|
1,  omg i didn’t know that last part sweet
1,hiking is not on the list exercising on the elliptical every day while reading/watching things in spanish is
1, https://tco/jxbeetofv0
2, yes indeedy
32,authorities: we’ve been following ur online activity and we have a few questions: what is the million dollar offer thing who is qualy what do u know about this “butt cousin”
1, yeah once it has engagement gotta leave it be
0, bruh ur so chill s’cool
0, hahahae 🤣
2,  just translating degrees of confidence to probabilities (https://tco/iajnjxxdep); i’ve done a fair amount of confidence calibration through brier scores (https://tco/idrsyhhmz9) along with reading articles they’re pretty squishy numbers 😅
4,so hypothetically speaking if i were to make a dating doc: is there any place besides or in addition to https://tco/emumfq6hdq where it would be best to put it i would be looking for another ea or rationalist kind of person :)
12,i now have business cards https://tco/kfkmdzrs55
1, it would be great to learn what went wrong in the previous attempts so far it looks like we have a team of 3 - me you and one other person - who want to work on this :)
1," omg someone had that idea and was like ""yaaaaas"""
2,  i felt ok until u got to the contentious eel
4,just u know pouring my heart out to twitter again like jack burton in big trouble in little china driving through the rain while bsing into the radio
1,  i like this; also there's a feminine version of strength https://tco/qnnky0tvpf
1, i felt sad and so sat out on the stoop for a bit; it seemed to help quite a bit
1, which language :)
1, having a library of structuring processes for generating options and choosing or at least understanding sources of uncertainty better seems to help this topic is basically my life 😅
1, if the question had been about other eas i’d have answered the same as for myself btw
1, it’s core to applied rationality in general one of the best de-biasing techniques is just “consider-the-opposite”
3,  in the before times i would read math books at the gym :-|
8,and btw look c u can't ask me to release memory whenever i'm done w/it what kind of super being do u think i am
1, if i had any kind of self respect i would harvest my tweets and run a sentiment analysis on them
7,i dreamed that i showed up to teach physics but the classroom had turned into a cozy salon and was full of twitter moots; instead of me teaching we had a super chill semi-intimate ai symposium
8, where did u find my old year book pic
2,"  and i love them without hats 

https://tco/6vwatxc8qo"
2,  i'm pretty sure that i'd have a beer with any of my followers if i drank beer
1, lots of parentheses - that's how to tell the pros from the posers 👍
2, an army of cuddles 😍
1, i've gotten to a weird place where 90% of the time i don't even understand pizza anymore
1, victor richter 😅
2,skin care ✅
2,reading cicero in latin and understanding w/out translating; gods what have i done to my brain 😅
1, so long as feeling uncomfortable isn't taken for being virtuous heh (thinking of person who does bad things feels bad but doesn't make effort to change)
4, there was an attractive force between the toilet and all the shitposting
2,warm bath + de-gorilla-fication
0, and here i was shifting all my resources toward the burrito problem maybe should reconsider
1, oh yeah well you smell like a greedy algorithm :-p
0, also they prolly should use a logarithmic scale :-|
2,  i have this citrus-smelling thing i like but looking at perfume reviews i noticed that no matter what the scent some people loathe it; the thought that a subset of people would loathe the way i smell bugs me so…
3,i luv make and makefiles; that is all
6,  3/ but even when there is only one person who is doing the thinking it's possible to simulate a variety of perspectives via these approaches and come up with many ideas that one would have been unlikely to arrive at otherwise end elevator pitch
1,  woah and here i was thinking that using category theory for consulting was my idea
1,  how am i not surprised he creates a whole other twitter account and podcast after i block him just goes to show u gotta be careful who u date
5, yes every day and also about how the writers are possibly the worst of all time
2,but link - man + woman ≠ zelda dammit
0, recklessly pursuing agi = bad sushi
3,the urge to try to do everything in life from the command line
2, i love when the area is cold and i don't wrap myself in anything at all and i freeze my butt off and not sure where i was going with this
0, it sounds like you're saying and correct me if i'm wrong that i can only treat awkwardness in a funny way because i come from a privileged position i don't deny being in such a position but what is the take home message i kind of need humor not to die and stuff
1,  been there didn't go well
1, i never wanna get out of bed so i feel ya
1,    i think i see thanks; it’s always better to have my views made more accurate
2, so with ya on that one boy is that guy gonna get it &gt;:(
0,most of the time i'm fine but then there'll be this random one where 🥲
0,2/ uncertainties about our working environment are reduced by activities such as talking to experts looking up information or performing studies those about values can be reduced by considering carefully our own values and those of other people who our decisions may effect
1,when u have an itch somewhere deep down that u don't yet know how to scratch right now attempting to scratch with multidimensional numpy arrays
1,  landauer limit = max speed that a human can read landau and lifshitz
3,combining the idea of drawing samples from a power law distribution with the idea of luck surface area is pretty useful: it gives motivation to always be trying several different things and to not give up too soon
1," apparently cicero said that to be dancing while sober you have to be insane and that's pretty much my go to:

dancing + insanity = 👍"
2, i find that thinking real hard followed by sleep generally helps it’s like yelling help so loud to ur brain that it keeps working even tho u r asleep; that followed by consolidation in the morning is huge
3, nanowrimo but all in tweets :|
1, twitter sporadically devours my offhand otter-related comments :-|
8,i want to order a box of snuggly cuddles
1,  peeps were hatin’ on transfinite arithmetic seems like someone’s always hatin’ on anything trans anyway that kind of thinking underpins set theory which we now know objectively to be cool we also know that category theory is objectively cooler (drunken math history here ha)
0, huh interesting…
2, i used to be used to it but was spoiled by those *other* languages
2,this just came yay https://tco/s5i2npglqc
1, and i am a depraved linux user 😈
0, i guess you'd need a sea slug avatar and some rudimentary knowledge of sea slug culture i'd prolly make a backstory for my sea slug persona too and study it
1, i wear this but loaded with sprinkles :)
1,cicero reading for today: check; now on to ml
2, good morning from jersey fellow cuddly wisp have some ferrets :) https://tco/vnlmnw6l30
16,new x-risk: daly meeting qualy we can’t let that happen peeps
1, i was adopted by a wild pack of molecular biologists
2,also becoming more agentic has helped a lot: it's amazing what can happen if you just ask for things
1,3/ the organism would need some way of sensing (not necessarily consciously) whether those interfaces were working properly and making the necessary changes if not
3,  that needs to be our fallback plan
1, anytime 😎
2, my spoon is python
1,decision making can be seen as being at the center of its own venn diagram: economics psychology philosophy
7,i've been informed that i need to work extra hard overtime tweeting bangers and that i won't be receiving any pay for it yeah ok fine i'll do it but for humanity :|
1, i seem to be good at the opposite
1, warning: this tweet features consumption of tobacco
0, nisi rex tryrannosaurus sit :|
0, twitter seems to have a way of taking over my brain if i turn on notifications so i treat it like a micro-blogging platform that i just um casually check rather a lot ha
1, bene monēs
0,"my topic analysis in blog format

https://tco/apbqpqrslo"
0, same but throne is made of porcelain
0, that'd be great thanks
0, me too
1, like we could try to get ourselves to believe something because we think it might make future versions of ourselves happier but that often has unintended consequences so being careful what we believe seems in order and that's what i mean by treading carefully
2, yay congratulations
1, she’s all i know 🫠
1,oh the huel with it
2,    i’ll be nicer to von neumann now 😅
3,omg i want cicero to write my resume and cover letters for me
3,idea: write a paper using category theory to relate systems thinking approaches to one another
1,"  yeah dammit that otter tweet of mine has prolly left the solar system by now

i'm sure i'm getting hate from the anti-otter lobby"
2, there’s also the “do you think that astrological sign is important for a match” question on okcupid to which what seems like a large number of people say “yes” to the point that i had to explicitly think about how or whether to factor it into my dating strategy
1,"  i read aloud record it and play it back (still doing voice work)

also putting notes in the margins in latin oof"
2,meetings should have facilitators who don't have any particular axe to grind eg they can make sure no one hogs the floor and that minoritized viewpoints are heard if they are also systems practitioners they can use models to synthesize views into an actionable whole
3,  i like it
3,  puns are like cheese the stinkier the better
3,i am not real only a huelogram
0,re everyone being heard: facilitator skills can help as well as setting limits on the amount of time anyone can hold the floor
0, omg wow: is there a good thing i could read
5,"call yourself a decision advisor and life be like: ""so you think ur good at making decisions do u bwahahahaha"""
5,so if i were to get that check thingie it would be from fear of getting filtered out like a bot; not from a desire to send boujie vibes
1, that’s good to hear because i like the idea of being on brand by just being myself :)
0,agi that has to run on an apple iie
15,"some grades of decency in disagreeing with a post in roughly decreasing order 

(1) ask clarifying questions 1st
(2) disagree but kindly
(3) disagree w/neutral wording
(4) snide comment 
(5) same as (4) but w/qt

if u are tempted to do (4) or (5) w/me plz unfollow/mute"
1, looking to keep expanding that until it's 3/4 of the year at least 👻👻👻
1, and remember that to err is *not* cumin
1,running a topic analysis on the corpus of one’s own words thinking through a problem
1,knowing only what you read in the princeton guides to mathematics
0, fair enough it comes off funnier/better right up front somehow
1, i hadn't and it looks relevant thanks
1, all the parts of my personality vote on it ha
1, hmm yeah you’re right but i want australia https://tco/u7mujwshhg
1, i kinda follow this mostly because of ibs and being insanely afraid of aging
1, only on twitter do they know my luv language
5,and by that i mean “i hate grading papers”
1,i think that even if i knew for certain i would never have another partner i would still daydream and think about what a healthy romantic relationship looks like read books about it etc
1, and maybe paint shakers will be kitchen appliances (arm is tired from shaking huel)
9,buddhism: move along no one to see here
6,an amazing piece of technology that gets used in almost no classrooms: round tables
2,i'm super sensitive to bright lights; so to a world filled with white screens and fluorescent lights i say why god why
1,  universal python income
1, it might get replaced by “based”
1,  https://tco/9ramzdqdao
1, no i haven't seen this before thanks
1, i don't really understand it either :(
3,  but i need to blame an inanimate object for my inconveniences besides i thought c and i were dating so this idea messes up my life story
2, i support this experiment 🧪
8,     maybe u shouldn't otter do that
0, i basically obsess over this book so good
8,  damn i didn't realize that having a phd in geophysics might be useful in this way
1, people sometimes forget that improbable isn't the same as impossible oy
2,  damn i feel validated
2, https://tco/lyuepbzsdn
1," you were saying that following the charts led to good consequences so it didn't matter if it's placebo or not if i'm right that can lead to belief in stars exerting mysterious influences or not and the ""not"" path seems safer"
1, sure also i’m planning to tweet about it more often than i have been…
6,i luv systems thinking; the work that consultants and managerial scientists have done to make insights from general systems theory cybernetics and complexity theory actionable is so amazing
2,4/ of course i could also stop freelancing and just work for an org directly an ea org would be awesome but i suppose it doesn't have to be it also seems like it could be viable as remote work though again it wouldn't have to be
4, it's gonna be like moore's law except for qualy
1,i want to still be around after i die so that i can be annoyed that there is no afterlife :-|
1, first in my heart 💖
2, i tried to convert this to roman numerals but it didn't go well in fact i think i hurt something :-|
2," i do a good job teaching because i love and want to do well by my students 🙏

yet i hate teaching always have and every day wonder why i've done it for as long as i have 😢"
1, hey i did read a good chunk of the rat one; it was pretty cool :)
1, yeah though it's useful to know what kinds of contracts i could take
1,7/ the amazing thing about that model is that it provides a blueprint for how any system might best be designed to be able to thrive in a changing and largely unpredictable environment
4,woman who identifies as a neural net :|
2,  if ur wearing a banana suit own that goddam banana suit
4,i did get some publications out of it i’m happy to say: https://tco/pebxlafon6
0,7/ but the principle still holds good: if you decide that every day you're going to exercise at 7 am for another example then you don't have to decide each day when to do it (and if you do it successfuly enough times it stops requiring much self discipline even to do it)
4, this is why i stopped saying i’m smart
1,"   and while we're at it i'll remind people of all the things they seem to remember but which never actually happened 😅

eg https://tco/a5jjbkqh7f"
1, you can curate your feed until it has only what you find helpful mine is full of awesome people
1, 3/ i am still crushing on her but plz don't tell alexa in the year 2000ish some ai named deep blue beat a russian guy at chess and then all hell starting breaking loose: self-driving cars computers simulating having feelings dogs and cats living together
1, that makes sense the focus will mostly be practical so maybe it’s best to stick with advisor thanks
1, anti cement-ism
4,"like i go downtown and people be like: ""belief calibration something something fiber bundle linux thingie"""
2, i’m very promiscuous: i’ve written in basic pascal logo c fortran 90 python and r
7,"on my top 10 list of fav inventions: "";"""
1, it is over here too :)
3,re said projects: i'm just going to make up things that have to do with decision making; if you'd like to see some particular kind of data analyzed in this respect just lemme know :)
0, it just means that whatever i say is right
1, i didn't realize it until now but sadly you're right: i'm made of meat :(
1,"8/ ""system"" here can be taken very broadly like ""the system of me my social media accounts and my blog"" or ""the system of me and my girlfriend"" etc"
2,my flavor of python is strawberry
1, omg awesome; thanks
1, i'm always in this mood and have not a single tattoo
0," that sounds kinda like what happens when i see a gross bug
https://tco/ug5jjwgsll"
1, oh sorry i was thinking chesslord but the wrong neurons fired
11,i need to learn poetry so i can complain with higher fidelity
1,   ah command line hell ❤️
1, i look at it as deterministic chaos at least at the macrolevel my aspiration is to become someone’s strange attractor 😏
3,  i like the earnest-response approach; at the same time i can totally see how the pros of blocking could outweigh those of continuing the interaction at times
5,"""bisexuals"" is trending in the us good job bisexuals :)"
1, 1/ so in ancient times the god vulcanus had figured out how to make robots that think for themselves but he was a god and stuff so it wasn't much help to humans later tho this super smart guy named alan turing invented a test that  i keep failing
1, but i’ve spent all the time since reading your book learning systems thinking and ml 😅
0,  i'm trying to say that for small probabilities small changes can make a big difference and that even small miscalibration on our parts can lead to this state of affairs
4,   qualybucks where we go to get real coffee
18,okay i’ll do it too: https://tco/cym9oidrps
0,3/ for example suppose i would like to maintain a certain balance between areas that i tweet about lda might reveal that i hardly ever talk about something i thought i tweeted about often and as a result i might decide to tweet about that topic more often
2, omg they were so not cool
5,someone once told me that if the words “spacetime continuum” come out of someone’s mouth they’re either a physicist or full of shit (w/a strong possibility of both)
3,"i feel like reflective equilibrium is a useful concept that doesn't get enough press

https://tco/hlpndlqaiq"
1, do some reasons why it might not be best immediately come to mind i'm def coming from an ea mindset in terms of values
1, i have this same thought every morning…
1, hmm i do dive deep on how decisions work but my ultimate aim is to help people in real-world situations and be suave :-|
0, julia galef
1, that’s a cool idea
1, aw man i asked for another brain and they gave me a rock only a slight improvement
1,  cool - i’ll give it a read 😁
1,"  the same problem prolly unsurprisingly exists in systems thinking: we have interpretive vs structuralist paradigms postmodernists realists etc

it does feel unsatisfying to always be “jumping paradigms” if i had to pick one maybe it’d be this: https://tco/4gun0irjep"
0,2/ toward this end i decided that i can power my will-to-get-stuff-done with linux command line jujitsu systems thinking and latin; i've been finding ways to incorporate all three of these into the items that make their way onto my todo list
1, some guys may also have faked being fired something something dang i'm glad i'm not a reporter
2,would people be put off by the name “decision advisor” i’m thinking that maybe nobody likes to think that they need help with making decisions
1,"  oh gods didn't know about the toilet thing

and no i suppose i wasn't"
1, hot take: ineffective rationalist = descartes
2," i have 397 :)

ok ok fav distro"
1, yeah i seen that there set rode into town and busted things up real bad
3,  for my project i just need a toothbrush a can of wd-40 and some masking tape
0, and transfinite arithmetic pshh (throws hands up in air)
3,  yeah but then it's continental philosophy (ouch this tweet is burning my fingers as i type it)
0,meh looks like i still need to prune out some common words that aren't all that informative
10, julia galef a gaggle of math models and the vim man page
1, what leads u to think that it's only that
0,mid-python stretch
1, i was planning to stop being evil anyway after world domination and donate all the ransom $ to ea causes
0, interesting hmmm
11,my tweets are absolute bangers to 07 people on avg; ur welcome
3, vanessa van edwards :-)
1, holy wow
0,  i use that same exact test
0, u have to beat me at galaga
1,if i were to invest about 4 hrs/day looking for/applying for jobs that use my abilities and would allow/require me to live in europe how long would it take me to get hired somewhere
6,  i esp luv the util monster idea
6, similarity attraction effect: we have a type and that type is us :|
41,one time a guy asked me why i was doing that; i asked him why he did anything he did
1, better than not being able to stan it
2,  what rob said
3,"""autopoiesis"" is a lovely word"
0, the remote nomad thing in portugal would be great for example
0, for similar reasons i often wish i’d just eaten a super spicy taco
3, i don't care what you call me just give me cheez
2,  somewhere around 2000 hours i was able to write it decently; somewhere around 2500 i could speak it and read it pretty well too
1,2/ one can co-opt methods from many different frameworks that is one can be multimethod without being multimethodological it’s an important distinction because the latter is much more powerful than the former
1, yeah never thought i’d feel warmly toward rats 😅
1, i know a ton about differential equations group theory differentiable manifolds and other areas of mathematical physics i love that whole language and am good at applying it to disparate things outside trad physics so mathematical modeling does that count as object level
1, omg luv that i’m not the only samus lover
1," forced isolation for me: 
int +2 cha -3"
3,some people seem incapable of saying “i’m sorry”; really what’s best is a bit more than that: we need to have a dialogue with the affected in which we come to understand our impact on them from the thing we’re sorry for
2, i would do it but my hands are full
1,throwing ideas at twitter like darts
2, same 2/4 :)
9,u know even if all hard decision making could be automated away tomorrow i would still want hard things to think about
1, i've been informed that i have a beauty of 2 millihelens which means that 2 full ships of ancient greeks would risk life and limb to save me building on that as a foundation
11,if i weren't gay i'd be so macaskilled (am a little anyway)
1,2/ for example there's a small probability every time i walk out the door that the most amazing woman in the world will be waiting there and instantly fall madly in love with me which would just be terrible :-|
1, feeling like this could be good
2, my close irl friends are artists and this is the only conversation we ever have ha
1, that is cool i must say 😎
0," one time instead of hopping on the q i accidentally got on ""that hellbound train""; it took me back to jersey"
1, it's really frustrating when things that i learned from psychology class or in subsequent readings turn out to be unreliable oy i know that facts can have expiration dates but somehow this seems worse
3, am cat no motorcycle :|
2,   yeah like just to go from eating normally to 16:8 fasting wasn't exactly a picnic
0, yes like a system with rules that generate a different password depending on which website or service i need it for for (simplified) example part of the password could be the first three consonants in the name of whatever so one for amazon would have an mzn in it somewhere
2, like seriously i already told twitter every last thought i ever had like 3 weeks ago and now i just recycle
16,why does nearly every job sound like this to me: “person needed to do super specific meaningless thing - really something that won’t help the world in any way whatsoever; 5 yrs prior experience preferred”
2,i object that cuddling didn't show up clearly gotta step up the cuddle tweets
0, i’ll plan to apply to jobs in those places first thanks i’d start immediately but i’m on a teaching contract that i probably can’t be released from until the end of april
