,Unnamed: 0,Tweets
1786,1786, 4/ anyway in a flash of genious they called the game hungry hungry hippos and the rest is history like there was some guy who has a guinness record based on it and there was even gonna be a hungry hungry hippos movie but like who the hell would watch that end
3325,3325, that gets at a good point at the same time “accurately” does underline that we are in some sense still trying to get at the truth
458,458,more python dammit til 7
2685,2685," this is why i love ""the twitter concentrate"""
3029,3029, we could still forcefully assimilate people into our giant borg party town
1621,1621, i often need anaesthetic a priori (posteriori too)
1182,1182,going to taylor expand myself and truncate everything after the 0th order approximation
260,260, i want to like all ur tweets but shh don’t tell anyone
1284,1284,we need a rat mastodon server :|
2424,2424,  yeah
2304,2304, me too
2718,2718, bene quidem :)
1185,1185,when i was a teenager there was no one like me around so i hung out with whoever was willing it led to me sitting in the eye of a hurricane of drugs and sex studying a calculus book
23,23, they are accounts which are unable to let go 👻👻👻
698,698, getsizeof just doesn't return the right results for numpy objects so i used itemsize instead
2862,2862,  
851,851,maybe if i learned sql i could be a business analyst i know how to do ml in r
3543,3543,"when you're your own boss and your work involves coding you can deeply identify with both of these perspectives:

""just write a code to do x""

""one does not simply write a code to do x"""
2408,2408,  it's a strong source of corroborative evidence: when theory experiment and computation converge it raises confidence that we've got something
631,631,it seems mastodon got embarrassed about tooting (as opposed to tweeting) and has gone back to plain old posting
2958,2958," i just read everything in the orberg series fifty bajillion times and studied very little grammar :)

https://tco/wahmtx4oet"
2352,2352, that is cool i must say 😎
3577,3577,  yeah a big advantage there for sure i think the obsidian team might be working on a phone app…
3264,3264,  i once asked springer why so many of their math books are yellow; the representative checked and came back with “we don’t know” :-|
2957,2957, it's hard i'd much rather be a cute alien octopus girl :-|
1121,1121,"my research process
(1) idea
(2) lit review
(3) cry because already been done
(4) remember phd advisor's advice and forge on"
332,332, ppl prolly have something like this in mind: https://tco/iuhkmrmwor
3199,3199,asking because maybe there's a theorem in there and you know publication :-|
2902,2902, my sense of identity is composed of moments like when you have gotten cheeto dust all over your fingers and you don't have anything to clean your hands of with :-|
3573,3573, and maybe paint shakers will be kitchen appliances (arm is tired from shaking huel)
1357,1357, mathematical physics: a modern introduction to its foundations https://tco/azvnmrjp6k
912,912, oh okay yes this looks better than using csvreader thanks
3336,3336, it’s a fact(orial)
3717,3717, that’s good to hear because i like the idea of being on brand by just being myself :)
2185,2185, ok i haven't seen that one batman it is
252,252, i have been known to bite
3219,3219,  in absentiā not that i'd know latin or anything
2174,2174,almost done grading tests; contemplating possible strategies to never grade another test again
731,731, omg that sounds based
302,302, closer to this https://tco/nutkgi6xfh
532,532, oh yes right i def wouldn't recommend the silent treatment or not taking people srsly irl i was imagining this to be someone online with whom u might choose to engage or not and the humor is there to diffuse the situation or open up the line for earnest engagement
3299,3299,by jeswald w salacuse
1365,1365,i haven’t worked on it in a long time i got really burnt out on being the sole developer for it and not having adequate institutional support for that kind of thing
2225,2225, actually just lived off ramen noodles cheetos and dr pepper (back before i became militantly anti-sugar)
1951,1951, yes :)
829,829, but i’ve spent all the time since reading your book learning systems thinking and ml 😅
2925,2925," my answer isn't helpful but it is kinda fun:
(1) become a supervillain org
(2) hold the world hostage with doomsday device
(3) collect ransom
(4) become good again and spend the $ on ea causes"
892,892, first get into a game of chicken then detach the steering wheel and throw it out the window while in clear view of the opposing driver (insane signal) then after they swerve pick up the spare steering wheel that you brought with you and attach it (dependably competent)
3752,3752, and if they do don't go in for any of that freudian stuff
3881,3881,and if i had to be killed by a 50 ft tall something or other btw i would choose qualy the lightbulb :-|
1902,1902,when mid-tweet u realize this is just not gonna work; nope: no amount of editing will fix this
3242,3242, sit with them awhile; make them a cup of tea wish them well when it’s time for them to leave
3911,3911,"in the interest of sharpening my ability to inhabit different paradigms i got this book today called ""the universe next door"" that describes several wordviews and critiques each from the perspectives of the others except i got it in spanish so i may or may not understand it 😅"
655,655,i just like simplicity and feel weird programming inside a web browser i'll do it if there's a good reason but otherwise maybe not
3378,3378,"everything makes so much sense while i'm reading it but then i put the book down and my brain's like ""erm donut"""
457,457,mid-python stretch
1734,1734," my fav is to read sea stories in latin with the captain accent

my natural voice is the robot :|"
10,10,2/ it can thus give a picture of what sorts of things are being written about as well as which words tend to be used together to talk about each thing; this knowledge can be useful for decision  making
555,555,3/ then to get a first look at the data we can do this: https://tco/y7z7oudjha
2236,2236, that's the amount of time some of the alignment peeps are giving until agi happens
1757,1757,  extreme cases: if it looks succulent or cactus-like u can water once every 2 weeks; if it looks fern-like every day or two
1859,1859,reading cicero in latin and understanding w/out translating; gods what have i done to my brain 😅
3921,3921, one way for it to be easy to fall into is if you have a lot of empathy or often look for feedback there seems to be a healthy balance between not caring and being influenced too much it also matters whether it's someone whose judgment you trust
3180,3180, i look at it as deterministic chaos at least at the macrolevel my aspiration is to become someone’s strange attractor 😏
571,571, tweetedin
3780,3780, some people have said to me  something like “i would use astrology for x but never for y” but x (so far) seems to require some degree of belief that astrology works
285,285, this is all super helpful thanks
2733,2733,  or category theory i like my abstractions to be nonsense
3650,3650, you know anything that breaks free of those crappy dating apps is great in my book cringe or not
723,723,  i’m very glad to hear that :)
1440,1440, i've gotten to a weird place where 90% of the time i don't even understand pizza anymore
1491,1491, ok this is giving me ideas for world cute-sification
2672,2672,   except about financial derivatives it's okay we all do that sometimes
2224,2224, at least my brown sugar water had a phd
534,534, oh wow this is different neato
1522,1522,an equation is an amazing bit of sorcery: the thing on the left and the thing on the right look totally different but are in reality the same; one of them is just wearing a trench coat a wig and a fake nose
2350,2350, they’re not dumb they’re great
298,298, okay okay i wanna try: a goat is low-key goated when being a farm animal is the vibe
2596,2596,i wish people weren't so against asking math models what they think about things math models are people too
1776,1776, it seems like we each get to decide (or discover) what that is for ourselves for me i think it's just being kissed by a girl
3020,3020, that's the region of confusion/disorder feel free to interpret
3607,3607,whenever i’m trying to learn a theory and i see examples i get excited because we use examples to unlock theory and remember it
2865,2865, like coffee coffee is filled with mind-controlling nanobots that make you randomly do the funky chicken dance
2002,2002, for latin they should just hire me to sit on the other side “please wait 30 min for results to load”
1980,1980," derivative 👍
integral 🔥🔥🔥🚒"
3623,3623, there’s def potential for a lot of cognitive dissonance in there; at the same time i know people who just really love babies and children like my sister-in-law worked as a nanny for years before becoming a mother just because she loved it
1343,1343, max galaga score
1181,1181,they just wanna know: can u do the job do u want to do the job and will u use word instead of sending us latex files u nerd
1132,1132,i'm sad that he's not around anymore :(
2215,2215,twitter is so awesome it doesn't matter what age anyone is or if they look like a sea slug or even if they smell funny
3164,3164, i was thinking about this i'm not sure i want anything to go viral ha
1234,1234, that 1/10 startups that succeed can make the ceo look special when maybe they’re mostly lucky
1438,1438, also i worked through this whole book this past summer and really enjoyed it: https://tco/ffisniypcx
2192,2192,  before the plague i was a gym ho hmm no that's not right gym rat :)
480,480,"i seem to be a very accumulate experience/level me up sort of person

although oddly habitica hasn't worked so well for me"
810,810, i think i have a little bit of accountant in me because i love data and playing with data :)
979,979,can barely fargin contain myself on here
3471,3471, i live in a weird quantum superposition where anything could turn out to be something else
356,356,when u have an itch somewhere deep down that u don't yet know how to scratch right now attempting to scratch with multidimensional numpy arrays
2910,2910," look that whole taking-over-nyc-by-understanding-its-hot-dog-stands-systemically thing isn't gonna work :-|

also remember: mēns errāns haud laeta est (a wandering mind is not happy)"
1278,1278, yeah i was kinda hoping to have swashbuckling space adventures and die of wounds from a sword fight somewhere in the galactic core but that's maybe a big ask
3996,3996, if you go any farther than that it will loop back around again to bad or maybe even the worst most baddest bad (but worse)
2621,2621,  i'm on a discord server where they do but i haven't logged in for quite a while not sure i've heard of tandem
718,718, pyspark sounds nice
3385,3385,"if you have a broken payroll system i have some free advice:

either get it fixed before there's hell to pay or don't fix it ever in this second case it won't matter if there's hell to pay: the payroll system will be broken so hell won't get paid either"
493,493,scrubbed the toilet :|
409,409,  when ur right ur right
1435,1435,  i want a perfect replica of hela from ragnarok's outfit
2882,2882, but this is how it translates into my mind: https://tco/ey21lormql
2924,2924, thanks i prolly got it from julia galef though i can't remember for sure
3445,3445, more briefly: if it's impossible to be wrong in thinking that you have a proof of p then p must be true
2886,2886,embrace that social awkwardness; get all up close and kiss it right on the lips it never expects that :-|
556,556,"2/ the ""mode csv"" command tells sql that we want to read a csv file; ""headers on"" says that when the table info is displayed we want to see the column labels; the last command imports the file as a table called gamesales"
1812,1812, thx bruh
908,908, that's beautiful
2687,2687, so important also those de-biasing techniques usually depend on first noticing potential triggers
3478,3478, i asked mom why she married dad and she said “he wouldn’t go away” :-|
1907,1907, u may be right: i have a cushy tenured professor job that i want to leave; u can prolly imagine what many people say about that ha
291,291, yes the idea i'm entertaining is that numpy + pandas &gt; sql
2785,2785,  i don't understand why it isn't something like «hīc homō moriētur» or «hīc homō moritūrus est» why the ablative for homō and the plural for morior i feel like i don't know latin suddenly
2546,2546,making all these type-o's tweeting in english makes me feel better about doing in latin tho 😅
2738,2738, like they might as well strap me into the cockpit right now and send me off to mars i'm pretty sure i could take it
551,551,7/ that's going to require a case command and is complicated enough to write an sql script in a separate file so we can fire up vim (or emacs) and type this in (saved afterward as salesquerysql): https://tco/wzzuoye5kd
366,366, rationalussy is that bond movie ppl forget about
160,160,  the beat launch codes https://tco/1zvhfyt59n
157,157, i dare the universe to give a crap about anything at all really
647,647, mine not only has that but also eject :)
174,174, i learned mostly thru reading books on judgment and decision theory; i liked this book a lot (tho it’s a bit pricy): https://tco/7dcxk5aql4
441,441, i never took it because i just stayed at the same uni until they gave me an ugly hat and kicked me out
1359,1359,my path seems logical but has led me to a weird place weirder than the sunless depths of the ocean where my studies started and far away from there
1382,1382,i need to learn a lot more about the alignment problem before i can decide how that might fit in the larger project for me seems to be imagining what i might look like in an ea org given mostly the skills i already have
312,312, she’s all i know 🫠
398,398,writing int &lt;big|x&gt;&lt;x|psi&gt; dx seems to clarify tho
3185,3185,  everything seems in order here (straightens up stack of papers)
2653,2653, i think i did it wrong
2691,2691, good to know https://tco/hlzwxlq2i3
154,154,i luv the twitter non-name accounts because where else can u frolic w a tiger a blobby monster and a ghost
2870,2870, finally i understand where that tile piece came from; it'd been bugging me for years
3758,3758,declaring something to be impossible is usually just asking for trouble 😈
1045,1045,methodology is the bridge from theory to methods
3046,3046, ah there's nothing like snuggling up to some faceless abstractions every night after some nice cold numbers 😌
869,869,"one of the profs for my phd defense said “i hadn’t noticed you were dressed like that or i’d have failed you” 

not only was i dressed like that but i sat on top of a desk in front of the committee swinging my legs back and forth the whole time :|"
2791,2791, i too bring terrible puns; perhaps a trade is possible
2169,2169, i can be kayguana
1674,1674,"  it was my house so i was the landlord haha

but yeah i got the hell outta there eventually"
3422,3422, mine i suppose https://tco/jjmvcszbor
6,6,"6/ we see words like ""causes"" and ""huel"" showing up but not words from another of my topic areas ""systems thinking"" and realizing this i might decide to try mixing these areas more when i talk about them if eg i think that systems thinking might benefit ea causes"
43,43,like do i have to learn tableau
3907,3907,  that makes sense and i hadn’t given it much thought before
2676,2676,"  i tried it once and was like ""did i accidentally buy that stuff that goes in the bottom of fish tanks"""
3822,3822, scelestissimī hominēs tālēs lēgēs prōpōnunt…
2009,2009, i now consider myself to be a wisp new identity :-|
387,387,refusing to put punctuation inside quotation marks because i'm funny that way too
1496,1496,  easy task may or may not get done :|
1101,1101,wouldn’t it be cool: ai that wears its heart on its sleeve like i do except i don’t have sleeves because i’m always wearing a tank top
540,540,hey this is good decision scientist = data scientist whose substantive expertise is decision making https://tco/s06bd7av9x
1854,1854,trying to find ur person: spreading yourself out over the whole universe and waiting until someone trips over u and likes it
3490,3490, one day you’ll open the drawer of some hotel room dresser and bam james clear will have been in there waiting
2369,2369,if twitter were destroyed tomorrow where would we all go
2237,2237, this makes me sad :(
3121,3121,   qualybucks where we go to get real coffee
968,968,i have a value-judgment detector that's constantly going off like where are the batteries located on this thing
3605,3605, omg this thread is too entertaining must stop reading now 😅
3468,3468,asking for scientific reasons
1789,1789, 1/ so there was this guy named fred kroll who was like in world war 2 and stuff; he wanted to get into the toy bizness for some reason he was in japan and while he was chilling out there he saw this game where u can make these hippos heads shoot out and eat marbles
1453,1453, that sounds plausible; i just wish people would throw pennies at me and make wishes or something being able to pay the rent w/said pennies would also help
1143,1143,or to which different outcomes of possible choices are interrelated
1582,1582, https://tco/fot5unsdge
2861,2861,  does it have all the same functionality as r for ml
3582,3582, doing it two different ways makes sense :)
430,430, i’m trying to become a decision scientist kinda like cassie kozyrkov over at google
2490,2490,  nailed it
1195,1195,"like i go downtown and people be like: ""belief calibration something something fiber bundle linux thingie"""
903,903, if i bought up all the liquor i could get as many cigarettes and ponies as i wanted
1785,1785, dark choco mandarin oranges blueberries nuts
3483,3483, if a woman said “this sounds plausibly right to me” i might cry
3440,3440, https://tco/gejj9oka7d
2114,2114,my skill set is such a weird mishmash: r graphviz vim linux command line jujitsu latin systems thinking model-based thinking cognitive biases/de-biasing mad people skillz
2076,2076," nah not always; i just let it sort of float off into the cosmos

when i say no to something big i use the crappy sandwich technique to soften the blow: say positive thing say no say positive thing i try to say positive things that are truthful"
1172,1172, aw shucks
3174,3174, the cancelor of the exchequer
2012,2012,"  it think it's prolly good to be careful about saying what math can and can't do after all math has category theory 😎

at the same time i'm sympathetic about trying to squash all valuation onto the real number line

pretty sure we could find good ways to math virtue ethics"
3254,3254,i think that even if i knew for certain i would never have another partner i would still daydream and think about what a healthy romantic relationship looks like read books about it etc
542,542,sql thread cleaned up and w/a bit more explanation: https://tco/msbhnex7bj
3466,3466,  yeah that fringe sect… what are they calling themselves oh yeah geophysicists
1161,1161,a tree showing all decision paths with leaves ranked by desirableness in different possible futures
1811,1811, word bruh
747,747, it saves me from trouble but it hurts if that’s all i have
1931,1931, this is why i stopped saying i’m smart
2327,2327,  i felt ok until u got to the contentious eel
2148,2148, right and also i like to write my internal documentation in latin :-|
476,476,oh lord if you type an exclamation point in ipython then anything afterward gets interpreted as a bash command eg pwd will print the working directory :d
2099,2099, i agree but maybe there is room for greater and lesser degrees of that while still being rational
3326,3326, yeah i know oy
3349,3349, ah the journey from “just fucking kill me” to “okay i figured it out” may no bridge you cross ever depend for its construction on the axiom of choice 🙏 (that’s how we wish people well where i’m from)
1777,1777,oh gods i have emptied my inbox; i would just like to thank all of the people who made this possible
1267,1267,i want nighttime savings
1978,1978, erm macgyver macgyver macgyver um dr who and macgyver
1894,1894,i used to be a musician 🥲
885,885,i'm not sure but it seems like a lot of bad in the world comes from being too willing to say that other people are bad which is ironic if true
3101,3101, das ist gut
2382,2382,  plan b for me
3072,3072," finding an enjoyable process is how i work with this issue like i sucked at latin for at least a year but i read fun silly books watched fun youtube videos made up games etc

fun powers my learning engine (oh that cheezy whiz cringe so good)"
3606,3606,  i think some people being confused might be a lesser evil than subjecting everyone to the full brunt of my shitpos- um humor :-|
2494,2494, which is always how i dance and i do dance so it's not vacuously true :-|
1770,1770," this is interesting because my vibe is usually more like
https://tco/tzp1mkpcy7"
2917,2917, trying to offset halo effect in-group-out-group bias and various other prejudices using consider-the-opposite which as far as i know is the only thing that consistently works across many de-biasing studies
3430,3430,"  i make cognitive maps as i interview clients and it seems to make much more info available all at once 

also chunking helps ie making each item in your short term memory be really several packaged together 

https://tco/38fvmwxw1b"
1604,1604, that looks great except that i want to live in europe oy
1071,1071, thanks
3316,3316, anybody who plays the accordion while wearing roller skates is ok in my book
2840,2840," the spell is more powerful in latin: cēterīs paribus
also it helps to add ""in some sense"" liberally"
3278,3278," but it also seems like sarcasm is becoming another word for ""wit""

one of my friends even said that my humor is sarcastic once and i was taken aback because i pretty much try not to do that"
3047,3047, ah yes: to help make decisions now or when that's not feasible to understand the problem better eg by answering questions like: which are the most important uncertainties how much do they need to be reduced to make a decision possible how much would this reduction cost
2095,2095,  i want a transgression debit card so i can eg purchase $50 worth of public swearing
2525,2525," 😂 sometimes even i forget i'm like ""wait a minute what am i doing stop flirting with men you dummy"""
2554,2554, fair enough it comes off funnier/better right up front somehow
3616,3616," “and what does this inkblot look like to you”

“huel”

“and this one”

“huel”"
3730,3730," differentiation: 👍😁
integration: 🔥🚒"
2309,2309, i'd take advantage of the blindingly white background following me around by convincing mean people that i'm an angel and they'd better stop being mean or i'll tell them to stop being mean again
2339,2339, maybe gödel’s 2nd theorem has a version applying to smart people saying they’re smart 😅
3030,3030,"in star trek the borg would be better if

(1) they maintained their individuality while sharing in the hive mind

(2) in addition to implants they went with full flesh-sculpting so everyone could look however they want

i would make a great hive queen if anyone's hiring :-|"
1452,1452,  i have been drawn here like iron filings to a magnet and am resigned to while away the rest of my time on this earth tweeting out banger after banger
2809,2809, obsidian would be my 2nd brain but i didn't have the 1st one so
2697,2697,not a life coach or a consultant but a third more mysterious thing
3394,3394,how i conceptualize my twitter accounts; thinking of writing about it in the blog 😅 https://tco/vzhdxuyasp
1040,1040, i used to dress just like that fr
3285,3285,  maybe we should all be doing as much as we can of what stefan schubert does calling out false and improbable claims or for scaredy cats like me supporting those who do that work
219,219,d&amp;d me https://tco/m4y2vmxpol
292,292, i just keep noticing all these job ads that seem to want u to know sql or python *and* sql; i'm starting to wonder if the latter isn't just being redundant
3392,3392,damn i switched the labels for english and latin tweets ha gotta fix that
3735,3735," autopoiesis applied to communication seems relevant here:
https://tco/dl0vc1ndmp"
3133,3133," i'm sorry that you've been seeing bad stuff in your timeline :( 

i starting muting hateful accounts a while back and it seems to help a lot"
1315,1315,trying to use statistics without some underlying causal model seems to lead to tons of problems using a 3 factor linear model can be better than using an ml one with 50 parameters
1114,1114,u know if u aren't batmanning hard enough gotham just goes to hell
3812,3812, i feel emotional about it too; crayons seem somehow appropriate 🥺
3077,3077, i have reason to believe that they prefer not to be called out :)
2228,2228," i had one prof who gave us all 20% on our term papers and told us to edit them; after we did that he gave us all 80% :-\

like did he not know that we talk to each other"
2402,2402,"on my top 10 list of fav inventions: "";"""
981,981,in the rings of power there was this one scene where i think galadriel was saying that using hateful language even about super bad things darkens the soul and makes us more susceptible to the forces of badness ourselves; i loved that
994,994,i often think about this when someone condemns someone else over one thing
276,276," 30 pages of equations later: ""oh my whole idea disagrees with observations"" (dumps brain in toilet gets new brain starts over)"
216,216,and don't get me started about tacos
778,778,i passed the anti-turing test and made everyone think i'm a robot which i'm not ofc nope not a robot not even a little 🤖
2771,2771, archeologist with whip fights nazis to find ancient relic that will melt your face off i mean that's effing cool; need i say more
37,37,  it’s a good question; i dunno but i wanna say it tends to be more of the congressive (we’ll get thru this) than the aggressive (i’m gonna kick ur ass) variety
1667,1667,if i am hiding nearby and u want to catch me just start talking about quantified modal logic; i won't be able to stop myself
2543,2543, haha mine too
3413,3413, is it bad good or just plain bad
3601,3601, it might depend less on absolute numbers than on share of total people on twitter interested like 1000 followers for  seems like it would be a lot 😅
3173,3173, i like lots of the answers given and it seems like being able to view emotional maturity from many different perspectives/worldviews is itself helpful for emotional maturity i like trying on perspectives so maybe i’m good at this aspect :)
678,678, yes plz
187,187, yes i keep checking still nothing
1312,1312,there is an inverse relationship between complexity of a model and understanding it can convey
2506,2506,    it seems crucial to do this with lots of things i know how to simulate being other people with different ideas; it takes a lot of time and still often isn't as good as just talking to other people who are different (but maybe not too different) from oneself
1219,1219, i prefer argument by entomology
3546,3546, i have i totally learned my pronunciation from that guy 😁
3496,3496,  cuz you know i have huel :-|
991,991, :(
1876,1876,in a parallel universe the twitter algorithm instead of drawing me to the core of ea drew me to the heart of the association of icelandic hedgehog enthusiasts
1422,1422, i am indeed interested in it i just figured that not being an ai engineer i’d have too much realistically to learn and also might lack convincing credentials
737,737,if the medieval guy finds a problem he sends a full report to the medieval witch who then runs further tests involving eye of newt; something may or may not come of this
2302,2302,"i know a guy who went on 49 dates before he found his husband now of many years

when he felt like giving up he told himself: ""if i stop then someone out there who would have been really happy with me may only find what he is looking for much later or not at all"""
3262,3262,working on my crazy graphviz-generated dating doc
3368,3368, hopefully it will discover its own identity and find a path forward in its new life: foodemonia
1016,1016," damn that’s pretty much me

alexa: “that’s not the kind of thing i’m capable of”

me: yeah u and everyone else in this town 😭"
782,782, a wizard of earthsea
2062,2062, i need some ambient universal energy right now
3110,3110,2/ usually a smoke detector is a highly sensitive test: if there's smoke then the alarm will almost definitely go off
687,687, i have an animal in my house it sheds it needs food and attention all the time that animal is me def not worth it
1678,1678," i wonder how the book i’ve been studying stacks up

an invitation to applied category theory: seven sketches in compositionality https://tco/jgh84wau56"
319,319, yes everything we do has potentially unintended consequences at the same time it's a matter of degree: some moves are riskier than others i used to think that we couldn't help what we believe but lately it seems like it's possible to just make yourself believe things too
2932,2932,  you could post smart things on it
3156,3156,i kinda wish that rationalists would get together and design the most effective dating site i do think that what we have now (reciprocity google docs) is prolly better than the usual apps but i also think it could likely be much better still
3251,3251,when i filled out the viable system model for a romantic relationship this is what i ended up with: https://tco/ftxfebazrb
2984,2984, i would prolly do what i'm already working on but more vigorously: translating systems thinking approaches into category theory in an effort to interrelate them ie form a system of systems approaches
1870,1870,   i knew which one u meant ha
1183,1183,one time a guy asked me why i was doing that; i asked him why he did anything he did
1884,1884, yes punish him for not writing the critique of pure reason more clearly
2855,2855, also having daydreams about being with people helps if i imagine vividly enough
2131,2131,it's impossible to doom scroll on my time line if you try you'll just end up with hair full of glitter
411,411,and btw look c u can't ask me to release memory whenever i'm done w/it what kind of super being do u think i am
3772,3772,3/ the organism would need some way of sensing (not necessarily consciously) whether those interfaces were working properly and making the necessary changes if not
2421,2421,  wish i could walk around with evard’s black tentacles sprouted from my back
3841,3841,what would be more effective for increasing good in the world: using decision advising to help individuals with problems in their personal lives or to help managers with problems in do-good organizations
2658,2658, you could instead aim for a number of irrational followers
1852,1852,“why is ur cover letter 15 pages long but only 7 sentences”
2200,2200,  i haven't read fiction in so long the last thing might have been the earthsea cycle by ursula le guin (which i loved)
3074,3074,"    are you saying that the wiki article is inaccurate 

“since something ""outside the calculation"" was needed to collapse the wave function von neumann concluded that the collapse was caused by the consciousness of the experimenter”

https://tco/jfo9aq8lw1"
279,279, eg as a lesbian it's hard for me to want to be in that boat even if i agree with what's said a lot of the time
771,771,  just replying so that there will be three stick figures in one thread
1506,1506,  yeah pretty sure socrates would say my definition is too broad but the more the merrier i say
2558,2558, thanks lina walking + music is totally therapeutic :)
717,717, i have this same thought every morning…
393,393,oh no it became tampax again and it's prolly my fault aaaaaaah
3861,3861, i managed to achieve tenure and lots of things but if you had a randomly selected collection of observations of me 98% of them would prolly just be me sitting in a chair thinking 😅
2649,2649,   oh okay as long as there's utility involved
3057,3057,   sōlum prōpōnō ut pīpiātūs carthāginiēnsēs mūtī sint = i propose that we only mute carthaginian tweets
630,630,waves of hunger breaking up on the cliff of not wanting to task switch
2346,2346,  oh gods using this from now on :-|
3456,3456,  yeah mine too farg
1115,1115,it's hard being batman
28,28,meh looks like i still need to prune out some common words that aren't all that informative
2805,2805, damn you have twitter merch and people own it i have new goals in life :-|
648,648, i'm kind of opposite: oh u no punch friends 😍
1614,1614,do u know how many people die every day from lack of cuddles ok prolly no one but still
269,269,me to guy who asks me what is my political party: um all i know is i want to sail on the boat w/the nice mathy peeps who want to help and who like that i’m there too ❤️
69,69,1/ distancing is often useful for thinking about a decision more rationally (see eg https://tco/zzo0eu3rbx ); to do it u can imagine that:
456,456,"ch 1 of the python data sci handbook ✅

now i'll try to write a script that will implement that todo list idea i had earlier"
2922,2922, first in my heart 💖
3609,3609,  right that’s why i used the scare quotes :)
112,112, yes that’s how we define it at the higher levels of jedi
1943,1943, my ethics is working for me but i’m not sure if it is true
3284,3284, also working on using applied category theory to organize and interrelate the different systems thinking approaches
3027,3027, all the enemies of fun would refuse
3883,3883, i see and it makes sense that some would be that bad (gaussian anyone)
2307,2307, i can't even imagine my world with an edit button why if i had that https://tco/9popedvryh
265,265,general feeling toward consultants:
1685,1685, new alternate spelling :)
3497,3497,  damn i almost thought i was more successful in dating than i really am
2146,2146,someone called me ma’am and i don’t like it
3939,3939,"being able to shape your immediate environment - at home and at work - to fit your skills and personality is such a wonderful thing 

it makes me really happy to the extent that i can do it"
3866,3866,"2/ applied rationality consists of several generally applicable mental models and habits of mind that are good to have ""running in the background"" pretty much no matter what i'm up to things like bayesian thinking confidence calibration awareness of biases etc"
2995,2995," i've noticed that trolls like to start with ""oh so"" 

like they're waiting for you to hit their tripwire which triggers ""oh so &lt;insert hurtful thing&gt;"""
3982,3982, to be clear there are many ways to define reductionism; i would not define it to be synonymous with physicalism
3136,3136, r is installable anywhere so yet another option is to just have the database be downloadable with the code and include a user's manual
3554,3554,  i'm confused but i want one too
2581,2581,  this is cool except i hope we aren't veering into the land of epicycles that can fit any orbit 😅
1216,1216, that's the thing: no matter what happens to everyone else the one person who will be with you until the end is you another reason i try to be nice to me
3654,3654,  re huel me too but it seems to be helping me with my ibs and to some extent with money so i’m super grateful that it exists 🙏
3757,3757,that was my thought after reading that soft systems methodology can never be evaluated scientifically
202,202, not so far is all i can say i've certainly gotten better at mindfulness and noticing i think the problem might be the yawning chasm of nothing that devours my soul which i tend to notice a lot when i'm noticing things
1891,1891, getting ghosted by a ghost while predictable also hurts a lot
1133,1133,"i love that the alighment problem book talks about the work of robyn dawes because i love his stuff

https://tco/38tstf60xx"
2026,2026, my brain was first replaced with https://tco/6bmspgw9df
369,369," employees at the morbid anatomy museum be like

https://tco/ktzoafywpg"
3884,3884, it's true that there's an opportunity cost to spending time on criticisms at the same time spending time to consider the criticisms of people whose worldviews are inimical to one's own has value i should probably write about this at some point in the blog lots to unpack
451,451,exercising on the elliptical 1 hr
3089,3089,  i like it because it has so little sugar but satisfies my chocolate drug addiction
543,543, thank u for saying so 🙏
287,287,ok so i've been informed that u need sql to get the data off of these huge databases that companies typically have; now i'm thinking there's prolly a way to do sql queries through python so i still gotta know sql but maybe i can use it through pandas
3952,3952, ha ha totally
1627,1627, thanks and yes i will follow my heart into mordor
2310,2310, but 80% of my thoughts come from 20% of my second brain (the other 20% coming from twitter)
893,893, but i am traveling near the speed of light right now
913,913,after learning how to read a csv file into python i feel spoiled by r in r u get this beautiful data frame by typing just one command: readcsv; in python it doesn't seem that nice
3488,3488, become ruler of australia 😈
550,550,"8/ to run this script in sql we can do a ""cat"" from the bash shell and pipe the output into sqlite3 like so: https://tco/uibmhi1fq7"
1064,1064,my beliefs are not me; they are not my children: what am i gonna do if i need to update my prior for any of them way downward i'm gonna keep my distance that's what
3425,3425, people sometimes forget that improbable isn't the same as impossible oy
2515,2515,when i write about serious things you would rather see
3834,3834, good to know maybe i can use her in physics classes :)
3151,3151,you know i would totally be willing to write up some kind of r program to use ml on dating docs converted into cvs format with some columns for useful basic info  if enough people would be interested
152,152,going in against a sicilian is low-key goated when death is on the line
3282,3282,  also the executive control centers of the brain aren’t fully developed until early 20s if i remember correctly
1118,1118, it sounds really interesting; i'm curious to know how it works maybe when it's published ping me
3063,3063,  we need to translate all talk of utilities from here on out into talk about muzak and potatoes
901,901, sounds like my world too a lot of times
796,796, when i was in grad school i did coke with cheez-its all the time during atmospheric physics made me phlegmy tho (and dr pepper is better)
1342,1342, when i read these things i don’t think “desperation” i think “wow lots of people seem to have similar experiences as me on those apps” and feel kinda less weird
2804,2804, i mean i didn't even know one could do that
1612,1612, i was kinda looking forward to the hive of scum and villainy :(
3663,3663," i've resorted to courting myself like i sit outside my own window play the guitar and sing in wistful spanish tones to erm myself :-| 

i guess i should run inside and throw a hankerchief out the window"
1318,1318,and i would include more than bio/chem/phys and not even limit to the sciences: artificial domain boundaries are not just out of date but increasingly harmful
3332,3332, i'm gonna use this as an excuse for all my bad jokes now
3753,3753," same for ""everything happens for a reason"" which i hear people say a lot i realize that one can steel-man this to something like ""there's a way to approach even set backs as opportunities for growth"" but yeah still"
3163,3163,"  me: ""oh look the last ripe peach let's analyze it (a) as something to eat (b) a way for plants to control humans (c) a projectile :-d"
3900,3900,  universal python income
